Opportunity Name,Organization/Household Name: Organization/Household Name,Opportunity Record Type,Project: Project Name,Project: Primary PI: Full Name,Project: Other Principal Investigators,Proposal Submission Date,Won Proposal,Opportunities Count,Project: Country Program: Country Program Name,Project: Research Not Managed by IPA,Allocation Type,Original Close Date
URosario-20-10001: URosario Project (Colombia),Universidad del Rosario,Grant Award,Artificial Intelligence Mining (AIM),Santiago Saavedra Pineda,,9/6/2019,1,1,Colombia,0,Allocation,2/25/2020
EDI Round 2: Proposal for Illegal Activity Response to Revealing its Existence (Colombia),Center for Effective Global Action (CEGA),Grant Proposal,Artificial Intelligence Mining (AIM),Santiago Saavedra Pineda,,11/15/2017,0,1,Colombia,0,,11/15/2017
GIF Proposal for Illegal activity response to revealing its existence,Global Innovation Fund,Grant Proposal,Artificial Intelligence Mining (AIM),Santiago Saavedra Pineda,,10/5/2017,0,1,Colombia,0,,10/5/2017
USIP Proposal for Comparative Evidence on Collective and Individual Reparations,United States Institute of Peace,Grant Proposal,Comparative Evidence on Collective and Individual Reparations,Matthew Bird,PI: Luz Magdalena Salas,3/21/2017,0,1,Colombia,0,,3/21/2017
Collection of baseline data for Impact assessment of safe and environmentally accompanying measures,Government of Côte d'Ivoire,Grant Proposal,Sahel Women Empowerment and Demographic Dividend,,,3/31/2017,0,1,Francophone West Africa,0,,3/31/2017
STA-19-10001 SEDRI Data Collection -Cote d?Ivoire,Stanford University,Grant Award,Stanford Economic Development Research Initiative (SEDRI),Pascaline Dupas,"PI: Deivy Houeix , Eva Lestant , Marcel Fafchamps",12/21/2018,1,1,Francophone West Africa,0,,4/19/2019
FM for SEDRI,Stanford University,Grant Proposal,Stanford Economic Development Research Initiative (SEDRI),Pascaline Dupas,"PI: Deivy Houeix , Eva Lestant , Marcel Fafchamps",3/25/2020,0,1,Francophone West Africa,0,,3/28/2020
Increasing PrEP Retention and Adherence among Female Sex Workers in Tanzania (subaward),"University of California, Berkeley",Grant Proposal,RESPECT II,William Dow,"PI: Laura Packel , Marianna Balampama , Damien de Walque",9/9/2019,0,1,Tanzania,0,,9/9/2019
UCB-20-20011 RESPECT II Qualitative Surveys,"University of California, Berkeley",Grant Award,RESPECT II,William Dow,"PI: Laura Packel , Marianna Balampama , Damien de Walque",8/6/2019,1,1,Tanzania,0,,2/13/2020
Sexuality and health themed call for Seed Awards in Humanities and Social Science,University College Dublin,Grant Proposal,Improving Sexual and Reproductive Health in Uganda,Slawa Rokicki,,3/16/2017,0,1,Uganda,0,,3/16/2017
GLM: Sahel ASP Oversight (Social Protection),United Kingdom Department for International Development (DFID),Grant Proposal,Sahel Adaptive Social Protection Program - Impact Evaluation,Thomas Bossuroy,"PI: Dean Karlan , Patrick Premand , Julia Vaillant , William Pariente , Harounan Kazianga , Markus Goldstein , Christopher Udry 
PhD PI: Kelsey Wright",10/16/2017,0,1,Francophone West Africa,0,,10/16/2017
USAID MRR midline burkina proposal,United States Agency for International Development (USAID),Grant Proposal,Sahel Adaptive Social Protection Program - Impact Evaluation,Thomas Bossuroy,"PI: Dean Karlan , Patrick Premand , Julia Vaillant , William Pariente , Harounan Kazianga , Markus Goldstein , Christopher Udry 
PhD PI: Kelsey Wright",11/17/2019,0,1,Francophone West Africa,0,,11/17/2019
DOS Building an Evaluation Culture among Civil Society Organizations in LatAm,United States Department of State,Grant Proposal,Building an Evaluation Culture among Civil Society Orgs in LatAm-Colombia,,,4/3/2017,0,1,Colombia,0,,4/3/2017
DOS Building an Evaluation Culture among Civil Society Organizations in LatAm,United States Department of State,Grant Proposal,Building an Evaluation Culture among Civil Society Organizations in LatAm-Peru,,,4/3/2017,0,1,Peru,0,,4/3/2017
